#汉字	Unicode	GB
啊	554A	B0A1
阿	963F	B0A2
埃	57C3	B0A3
挨	6328	B0A4
哎	54CE	B0A5
唉	5509	B0A6
哀	54C0	B0A7
皚	769A	B0A8
癌	764C	B0A9
藹	85F9	B0AA
矮	77EE	B0AB
艾	827E	B0AC
礙	7919	B0AD
愛	611B	B0AE
隘	9698	B0AF
鞍	978D	B0B0
氨	6C28	B0B1
安	5B89	B0B2
俺	4FFA	B0B3
按	6309	B0B4
暗	6697	B0B5
岸	5CB8	B0B6
胺	80FA	B0B7
案	6848	B0B8
骯	9AAF	B0B9
昂	6602	B0BA
盎	76CE	B0BB
凹	51F9	B0BC
敖	6556	B0BD
熬	71AC	B0BE
翱	7FF1	B0BF
襖	8956	B0C0
傲	50B2	B0C1
奥	5965	B0C2
懊	61CA	B0C3
澳	6FB3	B0C4
芭	82AD	B0C5
捌	634C	B0C6
扒	6252	B0C7
叭	53ED	B0C8
吧	5427	B0C9
笆	7B06	B0CA
八	516B	B0CB
疤	75A4	B0CC
巴	5DF4	B0CD
拔	62D4	B0CE
跋	8DCB	B0CF
靶	9776	B0D0
把	628A	B0D1
耙	8019	B0D2
壩	58E9	B0D3
霸	9738	B0D4
罷	7F77	B0D5
爸	7238	B0D6
白	767D	B0D7
柏	67CF	B0D8
百	767E	B0D9
擺	64FA	B0DA
佰	4F70	B0DB
敗	6557	B0DC
拜	62DC	B0DD
稗	7A17	B0DE
斑	6591	B0DF
班	73ED	B0E0
搬	642C	B0E1
扳	6273	B0E2
般	822C	B0E3
頒	9812	B0E4
板	677F	B0E5
版	7248	B0E6
扮	626E	B0E7
拌	62CC	B0E8
伴	4F34	B0E9
瓣	74E3	B0EA
半	534A	B0EB
辦	8FA6	B0EC
絆	7D46	B0ED
邦	90A6	B0EE
幫	5E6B	B0EF
梆	6886	B0F0
榜	699C	B0F1
膀	8180	B0F2
綁	7D81	B0F3
棒	68D2	B0F4
磅	78C5	B0F5
蚌	868C	B0F6
鎊	938A	B0F7
傍	508D	B0F8
謗	8B17	B0F9
苞	82DE	B0FA
胞	80DE	B0FB
包	5305	B0FC
褒	8912	B0FD
剥	5265	B0FE
薄	8584	B1A1
雹	96F9	B1A2
保	4FDD	B1A3
堡	5821	B1A4
飽	98FD	B1A5
寶	5BF6	B1A6
抱	62B1	B1A7
報	5831	B1A8
暴	66B4	B1A9
豹	8C79	B1AA
鮑	9B91	B1AB
爆	7206	B1AC
杯	676F	B1AD
碑	7891	B1AE
悲	60B2	B1AF
卑	5351	B1B0
北	5317	B1B1
輩	8F29	B1B2
背	80CC	B1B3
貝	8C9D	B1B4
鋇	92C7	B1B5
倍	500D	B1B6
狽	72FD	B1B7
備	5099	B1B8
憊	618A	B1B9
焙	7119	B1BA
被	88AB	B1BB
奔	5954	B1BC
苯	82EF	B1BD
本	672C	B1BE
笨	7B28	B1BF
崩	5D29	B1C0
綳	7DB3	B1C1
甭	752D	B1C2
泵	6CF5	B1C3
蹦	8E66	B1C4
迸	8FF8	B1C5
逼	903C	B1C6
鼻	9F3B	B1C7
比	6BD4	B1C8
鄙	9119	B1C9
筆	7B46	B1CA
彼	5F7C	B1CB
碧	78A7	B1CC
蓖	84D6	B1CD
蔽	853D	B1CE
畢	7562	B1CF
斃	6583	B1D0
毖	6BD6	B1D1
幣	5E63	B1D2
庇	5E87	B1D3
痹	75F9	B1D4
閉	9589	B1D5
敝	655D	B1D6
弊	5F0A	B1D7
必	5FC5	B1D8
辟	8F9F	B1D9
壁	58C1	B1DA
臂	81C2	B1DB
避	907F	B1DC
陛	965B	B1DD
鞭	97AD	B1DE
邊	908A	B1DF
編	7DE8	B1E0
貶	8CB6	B1E1
扁	6241	B1E2
便	4FBF	B1E3
變	8B8A	B1E4
卞	535E	B1E5
辨	8FA8	B1E6
辯	8FAF	B1E7
辮	8FAE	B1E8
遍	904D	B1E9
標	6A19	B1EA
彪	5F6A	B1EB
膘	8198	B1EC
表	8868	B1ED
鱉	9C49	B1EE
憋	618B	B1EF
别	522B	B1F0
癟	765F	B1F1
彬	5F6C	B1F2
斌	658C	B1F3
瀕	7015	B1F4
濱	6FF1	B1F5
賓	8CD3	B1F6
擯	64EF	B1F7
兵	5175	B1F8
冰	51B0	B1F9
柄	67C4	B1FA
丙	4E19	B1FB
秉	79C9	B1FC
餅	9905	B1FD
炳	70B3	B1FE
病	75C5	B2A1
并	5E76	B2A2
玻	73BB	B2A3
菠	83E0	B2A4
播	64AD	B2A5
撥	64A5	B2A6
鉢	9262	B2A7
波	6CE2	B2A8
博	535A	B2A9
勃	52C3	B2AA
搏	640F	B2AB
鉑	9251	B2AC
箔	7B94	B2AD
伯	4F2F	B2AE
帛	5E1B	B2AF
舶	8236	B2B0
脖	8116	B2B1
膊	818A	B2B2
渤	6E24	B2B3
泊	6CCA	B2B4
駁	99C1	B2B5
捕	6355	B2B6
卜	535C	B2B7
哺	54FA	B2B8
補	88DC	B2B9
埠	57E0	B2BA
不	4E0D	B2BB
布	5E03	B2BC
步	6B65	B2BD
簿	7C3F	B2BE
部	90E8	B2BF
怖	6016	B2C0
擦	64E6	B2C1
猜	731C	B2C2
裁	88C1	B2C3
材	6750	B2C4
才	624D	B2C5
財	8CA1	B2C6
睬	776C	B2C7
踩	8E29	B2C8
采	91C7	B2C9
彩	5F69	B2CA
菜	83DC	B2CB
蔡	8521	B2CC
餐	9910	B2CD
參	53C3	B2CE
蠶	8836	B2CF
殘	6B98	B2D0
慚	615A	B2D1
慘	6158	B2D2
燦	71E6	B2D3
蒼	84BC	B2D4
艙	8259	B2D5
倉	5009	B2D6
滄	6EC4	B2D7
藏	85CF	B2D8
操	64CD	B2D9
糙	7CD9	B2DA
槽	69FD	B2DB
曹	66F9	B2DC
草	8349	B2DD
厠	53A0	B2DE
策	7B56	B2DF
側	5074	B2E0
册	518C	B2E1
測	6E2C	B2E2
層	5C64	B2E3
蹭	8E6D	B2E4
插	63D2	B2E5
叉	53C9	B2E6
茬	832C	B2E7
茶	8336	B2E8
查	67E5	B2E9
碴	78B4	B2EA
搽	643D	B2EB
察	5BDF	B2EC
岔	5C94	B2ED
差	5DEE	B2EE
詫	8A6B	B2EF
拆	62C6	B2F0
柴	67F4	B2F1
豺	8C7A	B2F2
攙	6519	B2F3
摻	647B	B2F4
蟬	87EC	B2F5
饞	995E	B2F6
讒	8B92	B2F7
纏	7E8F	B2F8
鏟	93DF	B2F9
産	7523	B2FA
闡	95E1	B2FB
顫	986B	B2FC
昌	660C	B2FD
猖	7316	B2FE
場	5834	B3A1
嘗	5617	B3A2
常	5E38	B3A3
長	9577	B3A4
償	511F	B3A5
腸	8178	B3A6
廠	5EE0	B3A7
敞	655E	B3A8
暢	66A2	B3A9
唱	5531	B3AA
倡	5021	B3AB
超	8D85	B3AC
