#汉字	Unicode
丂	4E02
丄	4E04
丅	4E05
丆	4E06
丏	4E0F
丒	4E12
丗	4E17
丟	4E1F
丠	4E20
両	4E21
丣	4E23
並	4E26
丩	4E29
丮	4E2E
丯	4E2F
丱	4E31
丳	4E33
丵	4E35
丷	4E37
丼	4E3C
乀	4E40
乁	4E41
乂	4E42
乄	4E44
乆	4E46
乊	4E4A
乑	4E51
乕	4E55
乗	4E57
乚	4E5A
乛	4E5B
乢	4E62
乣	4E63
乤	4E64
乥	4E65
乧	4E67
乨	4E68
乪	4E6A
乫	4E6B
乬	4E6C
乭	4E6D
乮	4E6E
乯	4E6F
乲	4E72
乴	4E74
乵	4E75
乶	4E76
乷	4E77
乸	4E78
乹	4E79
乺	4E7A
乻	4E7B
乼	4E7C
乽	4E7D
乿	4E7F
亀	4E80
亁	4E81
亂	4E82
亃	4E83
亄	4E84
亅	4E85
亇	4E87
亊	4E8A
亐	4E90
亖	4E96
亗	4E97
亙	4E99
亜	4E9C
亝	4E9D
亞	4E9E
亣	4EA3
亪	4EAA
亯	4EAF
亰	4EB0
亱	4EB1
亴	4EB4
亶	4EB6
亷	4EB7
亸	4EB8
亹	4EB9
亼	4EBC
亽	4EBD
亾	4EBE
仈	4EC8
仌	4ECC
仏	4ECF
仐	4ED0
仒	4ED2
仚	4EDA
仛	4EDB
仜	4EDC
仠	4EE0
仢	4EE2
仦	4EE6
仧	4EE7
仩	4EE9
仭	4EED
仮	4EEE
仯	4EEF
仱	4EF1
仴	4EF4
仸	4EF8
仹	4EF9
仺	4EFA
仼	4EFC
仾	4EFE
伀	4F00
伂	4F02
伃	4F03
伄	4F04
伅	4F05
伆	4F06
伇	4F07
伈	4F08
伋	4F0B
伌	4F0C
伒	4F12
伓	4F13
伔	4F14
伕	4F15
伖	4F16
伜	4F1C
伝	4F1D
伡	4F21
伣	4F23
伨	4F28
伩	4F29
伬	4F2C
伭	4F2D
伮	4F2E
伱	4F31
伳	4F33
伵	4F35
伷	4F37
伹	4F39
伻	4F3B
伾	4F3E
伿	4F3F
佀	4F40
佁	4F41
佂	4F42
佄	4F44
佅	4F45
佇	4F47
佈	4F48
佉	4F49
佊	4F4A
佋	4F4B
佌	4F4C
佒	4F52
佔	4F54
佖	4F56
佡	4F61
佢	4F62
佦	4F66
佨	4F68
佪	4F6A
佫	4F6B
佭	4F6D
佮	4F6E
佱	4F71
佲	4F72
併	4F75
佷	4F77
佸	4F78
佹	4F79
佺	4F7A
佽	4F7D
侀	4F80
侁	4F81
侂	4F82
侅	4F85
來	4F86
侇	4F87
侊	4F8A
侌	4F8C
侎	4F8E
侐	4F90
侒	4F92
侓	4F93
侕	4F95
侖	4F96
侘	4F98
侙	4F99
侚	4F9A
侜	4F9C
侞	4F9E
侟	4F9F
価	4FA1
侢	4FA2
侤	4FA4
侫	4FAB
侭	4FAD
侰	4FB0
侱	4FB1
侲	4FB2
侳	4FB3
侴	4FB4
侶	4FB6
侷	4FB7
侸	4FB8
侹	4FB9
侺	4FBA
侻	4FBB
侼	4FBC
侽	4FBD
侾	4FBE
俀	4FC0
俁	4FC1
係	4FC2
俆	4FC6
俇	4FC7
俈	4FC8
俉	4FC9
俋	4FCB
俌	4FCC
俍	4FCD
俒	4FD2
俓	4FD3
俔	4FD4
俕	4FD5
俖	4FD6
俙	4FD9
俛	4FDB
俠	4FE0
俢	4FE2
俤	4FE4
俥	4FE5
俧	4FE7
俫	4FEB
俬	4FEC
俰	4FF0
俲	4FF2
俴	4FF4
俵	4FF5
俶	4FF6
俷	4FF7
俹	4FF9
俻	4FFB
俼	4FFC
俽	4FFD
俿	4FFF
倀	5000
倁	5001
倂	5002
倃	5003
倄	5004
倅	5005
倆	5006
倇	5007
倈	5008
倉	5009
倊	500A
個	500B
倎	500E
倐	5010
們	5011
倓	5013
倕	5015
倖	5016
倗	5017
