#古籍字	Unicode	序号
吖	05416	00001
啊	0554A	00002
哎	054CE	00003
哀	054C0	00004
埃	057C3	00005
挨	06328	00006
唉	05509	00007
欸	06B38	00008
捱	06371	00009
啀	05540	00010
嘊	0560A	00011
敳	06573	00012
皚	0769A	00013
毐	06BD0	00014
矮	077EE	00015
噯	0566F	00016
濭	06FED	00017
藹	085F9	00018
靄	09744	00019
艾	0827E	00020
㤅	03905	00021
侅	04F85	00022
隘	09698	00023
愛	0611B	00024
閡	095A1	00025
僾	050FE	00026
壒	058D2	00027
鴱	09D31	00028
薆	08586	00029
嬡	05B21	00030
璦	074A6	00031
𣜬	2372C	00032
𣋞	232DE	00033
曖	066D6	00034
餲	09932	00035
懝	061DD	00036
瞹	077B9	00037
馤	099A4	00038
礙	07919	00039
譺	08B7A	00040
靉	09749	00041
安	05B89	00042
菴	083F4	00043
庵	05EB5	00044
啽	0557D	00045
媕	05A95	00046
㛺	036FA	00047
腤	08164	00048
痷	075F7	00049
鞍	0978D	00050
鞌	0978C	00051
盦	076E6	00052
諳	08AF3	00053
馣	099A3	00054
鮟	09B9F	00055
鵪	09D6A	00056
韽	097FD	00057
埯	057EF	00058
唵	05535	00059
揞	063DE	00060
罯	07F6F	00061
犴	072B4	00062
岸	05CB8	00063
按	06309	00064
洝	06D1D	00065
桉	06849	00066
豻	08C7B	00067
案	06848	00068
婩	05A69	00069
晻	0667B	00070
遃	09043	00071
暗	06697	00072
儑	05111	00073
闇	095C7	00074
䬓	04B13	00075
𩹎	29E4E	00076
黯	09EEF	00077
𪒠	2A4A0	00078
卬	0536C	00079
昂	06602	00080
㭿	03B7F	00081
䩕	04A55	00082
𡵙	21D59	00083
枊	0678A	00084
㼜	03F1C	00085
盎	076CE	00086
醠	091A0	00087
凹	051F9	00088
㕭	0356D	00089
𤏶	243F6	00090
䫜	04ADC	00091
爊	0720A	00092
𪃨	2A0E8	00093
敖	06556	00094
隞	0969E	00095
嶅	05D85	00096
遨	09068	00097
嗷	055F7	00098
獓	07353	00099
廒	05ED2	00100
滶	06EF6	00101
璈	07488	00102
獒	07352	00103
摮	0646E	00104
熬	071AC	00105
磝	078DD	00106
聱	08071	00107
螯	087AF	00108
翱	07FF1	00109
謷	08B37	00110
謸	08B38	00111
𩪋	29A8B	00112
鏖	093D6	00113
鷔	09DD4	00114
鰲	09C32	00115
䥝	0495D	00116
鼇	09F07	00117
芺	082BA	00118
拗	062D7	00119
袄	08884	00120
镺	0957A	00121
媼	05ABC	00122
襖	08956	00123
坳	05773	00124
奡	05961	00125
傲	050B2	00126
奧	05967	00127
慠	06160	00128
墺	058BA	00129
𡒃	21483	00130
嶴	05DB4	00131
懊	061CA	00132
鏊	093CA	00133
驁	09A41	00134
𩼈	29F08	00135
八	0516B	00136
巴	05DF4	00137
叭	053ED	00138
朳	06733	00139
芭	082AD	00140
吧	05427	00141
岜	05C9C	00142
疤	075A4	00143
捌	0634C	00144
蚆	08686	00145
哵	054F5	00146
笆	07B06	00147
羓	07F93	00148
粑	07C91	00149
豝	08C5D	00150
𩡩	29869	00151
鈀	09200	00152
䶕	04D95	00153
犮	072AE	00154
㧊	039CA	00155
坺	0577A	00156
拔	062D4	00157
茇	08307	00158
𢇷	221F7	00159
妭	059AD	00160
胈	080C8	00161
癹	07679	00162
菝	083DD	00163
軷	08EF7	00164
跋	08DCB	00165
魃	09B43	00166
䮂	04B82	00167
鼥	09F25	00168
把	0628A	00169
弝	05F1D	00170
爸	07238	00171
𥝧	25767	00172
耙	08019	00173
垻	057BB	00174
跁	08DC1	00175
靶	09776	00176
罷	07F77	00177
矲	077F2	00178
䆉	04189	00179
䎱	043B1	00180
霸	09738	00181
壩	058E9	00182
灞	0705E	00183
欛	06B1B	00184
㓦	034E6	00185
掰	063B0	00186
白	0767D	00187
百	0767E	00188
佰	04F70	00189
柏	067CF	00190
捭	0636D	00191
擺	064FA	00192
扒	06252	00193
拜	062DC	00194
唄	05504	00195
敗	06557	00196
猈	07308	00197
稗	07A17	00198
粺	07CBA	00199
韛	097DB	00200
攽	0653D	00201
朌	0670C	00202
班	073ED	00203
斑	06591	00204
搬	0642C	00205
頒	09812	00206
斒	06592	00207
瘢	07622	00208
螌	0878C	00209
癍	0764D	00210
辬	08FAC	00211
䰉	04C09	00212
阪	0962A	00213
坂	05742	00214
板	0677F	00215
瓪	074EA	00216
昄	06604	00217
版	07248	00218
粄	07C84	00219
鈑	09211	00220
䬳	04B33	00221
蝂	08742	00222
魬	09B6C	00223
半	0534A	00224
扮	0626E	00225
𠯘	20BD8	00226
伴	04F34	00227
姅	059C5	00228
湴	06E74	00229
絆	07D46	00230
靽	0977D	00231
辦	08FA6	00232
瓣	074E3	00233
邦	090A6	00234
帮	05E2E	00235
垹	057B9	00236
梆	06886	00237
浜	06D5C	00238
幫	05E6B	00239
綁	07D81	00240
榜	0699C	00241
牓	07253	00242
玤	073A4	00243
蚌	0868C	00244
棒	068D2	00245
棓	068D3	00246
硥	07865	00247
蒡	084A1	00248
徬	05FAC	00249
䰷	04C37	00250
謗	08B17	00251
勹	052F9	00252
包	05305	00253
苞	082DE	00254
𡶄	21D84	00255
孢	05B62	00256
㚿	036BF	00257
胞	080DE	00258
褒	08912	00259
齙	09F59	00260
仢	04EE2	00261
雹	096F9	00262
䈏	0420F	00263
懪	061EA	00264
𦢊	2688A	00265
保	04FDD	00266
堢	05822	00267
葆	08446	00268
堡	05821	00269
飽	098FD	00270
駂	099C2	00271
褓	08913	00272
鴇	09D07	00273
寶	05BF6	00274
抱	062B1	00275
豹	08C79	00276
菢	083E2	00277
袌	0888C	00278
報	05831	00279
鉋	0924B	00280
靤	09764	00281
骲	09AB2	00282
暴	066B4	00283
虣	08663	00284
鮑	09B91	00285
儤	05124	00286
瀑	07011	00287
爆	07206	00288
陂	09642	00289
杯	0676F	00290
卑	05351	00291
柸	067F8	00292
盃	076C3	00293
桮	0686E	00294
悲	060B2	00295
碑	07891	00296
鵯	09D6F	00297
襬	0896C	00298
䥯	0496F	00299
北	05317	00300
孛	05B5B	00301
邶	090B6	00302
貝	08C9D	00303
㸬	03E2C	00304
背	080CC	00305
倍	0500D	00306
狽	072FD	00307
悖	06096	00308
被	088AB	00309
菩	083E9	00310
梖	06896	00311
㫲	03AF2	00312
偝	0505D	00313
㔨	03528	00314
琲	07432	00315
備	05099	00316
焙	07119	00317
蓓	084D3	00318
碚	0789A	00319
鞁	09781	00320
𣖾	235BE	00321
骳	09AB3	00322
誖	08A96	00323
褙	08919	00324
輩	08F29	00325
䰽	04C3D	00326
憊	0618A	00327
糒	07CD2	00328
㶔	03D94	00329
奔	05954	00330
倴	05034	00331
犇	07287	00332
錛	0931B	00333
本	0672C	00334
苯	082EF	00335
畚	0755A	00336
体	04F53	00337
坌	0574C	00338
𢪘	22A98	00339
笨	07B28	00340
渀	06E00	00341
伻	04F3B	00342
祊	0794A	00343
崩	05D29	00344
閍	0958D	00345
絣	07D63	00346
嗙	055D9	00347
繃	07E43	00348
埄	057C4	00349
菶	083F6	00350
唪	0552A	00351
琫	0742B	00352
琣	07423	00353
𦂌	2608C	00354
䩬	04A6C	00355
迸	08FF8	00356
埲	057F2	00357
堋	0580B	00358
跰	08DF0	00359
甏	0750F	00360
畐	07550	00361
偪	0506A	00362
逼	0903C	00363
楅	06945	00364
豍	08C4D	00365
䠋	0480B	00366
鵖	09D56	00367
鎞	0939E	00368
荸	08378	00369
鼻	09F3B	00370
匕	05315	00371
比	06BD4	00372
吡	05421	00373
佊	04F4A	00374
疕	07595	00375
沘	06C98	00376
𠛡	206E1	00377
妣	059A3	00378
彼	05F7C	00379
柀	067C0	00380
秕	079D5	00381
俾	04FFE	00382
舭	0822D	00383
粃	07C83	00384
啚	0555A	00385
筆	07B46	00386
鄙	09119	00387
箄	07B84	00388
貏	08C8F	00389
㻶	03EF6	00390
必	05FC5	00391
㘩	03629	00392
坒	05752	00393
佖	04F56	00394
𤜻	2473B	00395
庇	05E87	00396
邲	090B2	00397
𨚓	28693	00398
㧙	039D9	00399
苾	082FE	00400
畀	07540	00401
泌	06CCC	00402
怭	0602D	00403
珌	073CC	00404
柲	067F2	00405
毖	06BD6	00406
胇	080C7	00407
𢘍	2260D	00408
陛	0965B	00409
畢	07562	00410
狴	072F4	00411
𦱔	26C54	00412
梐	06890	00413
閉	09589	00414
䏶	043F6	00415
庳	05EB3	00416
敝	0655D	00417
婢	05A62	00418
堛	0581B	00419
賁	08CC1	00420
皕	07695	00421
貱	08CB1	00422
詖	08A56	00423
湢	06E62	00424
愊	0610A	00425
愎	0610E	00426
弼	05F3C	00427
蓽	084FD	00428
蓖	084D6	00429
閟	0959F	00430
蜌	0870C	00431
嗶	055F6	00432
鉍	0924D	00433
飶	098F6	00434
腷	08177	00435
痹	075F9	00436
煏	0714F	00437
滭	06EED	00438
裨	088E8	00439
彃	05F43	00440
碧	078A7	00441
蔽	0853D	00442
馝	0999D	00443
箅	07B85	00444
獙	07359	00445
弊	05F0A	00446
幣	05E63	00447
熚	0719A	00448
鄪	0912A	00449
䪐	04A90	00450
綼	07DBC	00451
髲	09AF2	00452
駜	099DC	00453
罼	07F7C	00454
𥻅	25EC5	00455
獘	07358	00456
潷	06F77	00457
薜	0859C	00458
觱	089F1	00459
螕	08795	00460
篳	07BF3	00461
篦	07BE6	00462
鮅	09B85	00463
廦	05EE6	00464
鴓	09D13	00465
壁	058C1	00466
避	0907F	00467
嬖	05B16	00468
縪	07E2A	00469
䟆	047C6	00470
蹕	08E55	00471
髀	09AC0	00472
斃	06583	00473
臂	081C2	00474
奰	05970	00475
饆	09946	00476
鄨	09128	00477
璧	074A7	00478
鞸	097B8	00479
襣	08963	00480
襞	0895E	00481
繴	07E74	00482
韠	097E0	00483
䌟	0431F	00484
躃	08E83	00485
躄	08E84	00486
贔	08D14	00487
鸊	09E0A	00488
鼊	09F0A	00489
砭	0782D	00490
萹	08439	00491
猵	07335	00492
牑	07251	00493
甂	07502	00494
蝙	08759	00495
箯	07BAF	00496
編	07DE8	00497
鞭	097AD	00498
邊	0908A	00499
鯿	09BFF	00500
籩	07C69	00501
窆	07A86	00502
扁	06241	00503
匾	0533E	00504
貶	08CB6	00505
碥	078A5	00506
褊	0890A	00507
鴘	09D18	00508
藊	085CA	00509
𧸘	27E18	00510
卞	0535E	00511
弁	05F01	00512
抃	06283	00513
釆	091C6	00514
汳	06C73	00515
汴	06C74	00516
忭	05FED	00517
𨚕	28695	00518
拚	062DA	00519
昪	0662A	00520
便	04FBF	00521
䛒	046D2	00522
徧	05FA7	00523
遍	0904D	00524
閞	0959E	00525
䪻	04ABB	00526
艑	08251	00527
辨	08FA8	00528
辮	08FAE	00529
辯	08FAF	00530
變	08B8A	00531
髟	09ADF	00532
彪	05F6A	00533
淲	06DF2	00534
猋	0730B	00535
蔈	08508	00536
幖	05E56	00537
颮	098AE	00538
滮	06EEE	00539
標	06A19	00540
熛	0719B	00541
䅺	0417A	00542
瘭	0762D	00543
儦	05126	00544
瀌	0700C	00545
鏢	093E2	00546
穮	07A6E	00547
驃	09A43	00548
飆	098C6	00549
鑣	09463	00550
驫	09A6B	00551
表	08868	00552
婊	05A4A	00553
裱	088F1	00554
㟽	037FD	00555
錶	09336	00556
褾	0893E	00557
俵	04FF5	00558
摽	0647D	00559
鰾	09C3E	00560
𧌽	2733D	00561
憋	0618B	00562
蟞	087DE	00563
䳤	04CE4	00564
鷩	09DE9	00565
鱉	09C49	00566
鼈	09F08	00567
虌	0864C	00568
别	0522B	00569
咇	05487	00570
莂	08382	00571
蛂	086C2	00572
䟤	047E4	00573
徶	05FB6	00574
襒	08952	00575
𧝬	2776C	00576
蹩	08E69	00577
癟	0765F	00578
彆	05F46	00579
䌘	04318	00580
汃	06C43	00581
份	04EFD	00582
邠	090A0	00583
玢	073A2	00584
彬	05F6C	00585
斌	0658C	00586
㻞	03EDE	00587
豩	08C69	00588
賓	08CD3	00589
豳	08C73	00590
獱	07371	00591
濱	06FF1	00592
璸	074B8	00593
檳	06AB3	00594
𣰨	23C28	00595
瀕	07015	00596
繽	07E7D	00597
鑌	0944C	00598
顮	0986E	00599
儐	05110	00600
擯	064EF	00601
殯	06BAF	00602
臏	081CF	00603
髕	09AD5	00604
鬢	09B22	00605
冰	051B0	00606
兵	05175	00607
栟	0681F	00608
掤	063A4	00609
丙	04E19	00610
邴	090B4	00611
秉	079C9	00612
怲	06032	00613
柄	067C4	00614
昞	0661E	00615
炳	070B3	00616
𠱛	20C5B	00617
窉	07A89	00618
蛃	086C3	00619
琕	07415	00620
棅	068C5	00621
鈵	09235	00622
稟	07A1F	00623
鉼	0927C	00624
餅	09905	00625
鞞	0979E	00626
并	05E76	00627
併	04F75	00628
並	04E26	00629
庰	05EB0	00630
病	075C5	00631
偋	0504B	00632
摒	06452	00633
寎	05BCE	00634
䗒	045D2	00635
蔔	08514	00636
波	06CE2	00637
玻	073BB	00638
柭	067ED	00639
砵	07835	00640
趵	08DB5	00641
袚	0889A	00642
剝	0525D	00643
菠	083E0	00644
缽	07F3D	00645
紴	07D34	00646
鉢	09262	00647
碆	07886	00648
僠	050E0	00649
播	064AD	00650
撥	064A5	00651
嶓	05D93	00652
餑	09911	00653
鮁	09B81	00654
磻	078FB	00655
嚗	05697	00656
蹳	08E73	00657
鱍	09C4D	00658
彴	05F74	00659
伯	04F2F	00660
帛	05E1B	00661
瓝	074DD	00662
泊	06CCA	00663
勃	052C3	00664
侼	04FBC	00665
胉	080C9	00666
挬	0632C	00667
亳	04EB3	00668
浡	06D61	00669
桲	06872	00670
㪍	03A8D	00671
㹀	03E40	00672
舶	08236	00673
㼎	03F0E	00674
脖	08116	00675
㶿	03DBF	00676
袹	088B9	00677
艴	08274	00678
博	0535A	00679
葧	08467	00680
𠷺	20DFA	00681
䬪	04B2A	00682
渤	06E24	00683
搏	0640F	00684
㗘	035D8	00685
鈸	09238	00686
鉑	09251	00687
𤊹	242B9	00688
駁	099C1	00689
僰	050F0	00690
𨁝	2805D	00691
馛	0999B	00692
箔	07B94	00693
煿	0717F	00694
踣	08E23	00695
䙏	0464F	00696
駮	099EE	00697
薄	08584	00698
䗚	045DA	00699
馞	0999E	00700
䳁	04CC1	00701
鮊	09B8A	00702
𩣡	298E1	00703
襏	0894F	00704
㩧	03A67	00705
鵓	09D53	00706
簙	07C19	00707
鎛	0939B	00708
餺	0993A	00709
𩷚	29DDA	00710
髆	09AC6	00711
犦	072A6	00712
欂	06B02	00713
㿺	03FFA	00714
襮	0896E	00715
䂍	0408D	00716
礴	07934	00717
鑮	0946E	00718
𩍿	2937F	00719
蚾	086BE	00720
跛	08DDB	00721
簸	07C38	00722
檗	06A97	00723
擘	064D8	00724
蘗	08617	00725
啵	05575	00726
抪	062AA	00727
逋	0900B	00728
峬	05CEC	00729
庯	05EAF	00730
晡	06661	00731
餔	09914	00732
轐	08F50	00733
醭	091AD	00734
卜	0535C	00735
捕	06355	00736
哺	054FA	00737
補	088DC	00738
鳪	09CEA	00739
䪁	04A81	00740
𪇰	2A1F0	00741
不	04E0D	00742
布	05E03	00743
步	06B65	00744
佈	04F48	00745
咘	05498	00746
怖	06016	00747
部	090E8	00748
埠	057E0	00749
瓿	074FF	00750
蔀	08500	00751
踄	08E04	00752
篰	07BF0	00753
餢	09922	00754
䒀	04480	00755
鞴	097B4	00756
䴺	04D3A	00757
簿	07C3F	00758
𨺭	28EAD	00759
攃	06503	00760
擦	064E6	00761
啋	0554B	00762
偲	05072	00763
猜	0731C	00764
才	0624D	00765
材	06750	00766
財	08CA1	00767
裁	088C1	00768
纔	07E94	00769
采	091C7	00770
採	063A1	00771
彩	05F69	00772
寀	05BC0	00773
婇	05A47	00774
睬	0776C	00775
跴	08DF4	00776
綵	07DB5	00777
踩	08E29	00778
䰂	04C02	00779
埰	057F0	00780
菜	083DC	00781
棌	068CC	00782
蔡	08521	00783
縩	07E29	00784
䌨	04328	00785
飡	098E1	00786
飱	098F1	00787
傪	050AA	00788
餐	09910	00789
䟃	047C3	00790
䱗	04C57	00791
驂	09A42	00792
戔	06214	00793
殘	06B98	00794
慚	0615A	00795
蠶	08836	00796
朁	06701	00797
慘	06158	00798
噆	05646	00799
憯	061AF	00800
㿊	03FCA	00801
黲	09EF2	00802
粲	07CB2	00803
嘇	05607	00804
璨	074A8	00805
燦	071E6	00806
謲	08B32	00807
倉	05009	00808
傖	05096	00809
凔	051D4	00810
蒼	084BC	00811
獊	0734A	00812
滄	06EC4	00813
艙	08259	00814
鶬	09DAC	00815
藏	085CF	00816
操	064CD	00817
糙	07CD9	00818
曹	066F9	00819
嘈	05608	00820
嶆	05D86	00821
漕	06F15	00822
槽	069FD	00823
𥕢	25562	00824
褿	0893F	00825
螬	087AC	00826
艚	0825A	00827
草	08349	00828
愺	0613A	00829
懆	061C6	00830
騲	09A32	00831
肏	0808F	00832
鄵	09135	00833
册	0518C	00834
畟	0755F	00835
厠	053A0	00836
笧	07B27	00837
側	05074	00838
粣	07CA3	00839
𡍪	2136A	00840
萴	08434	00841
策	07B56	00842
廁	05EC1	00843
測	06E2C	00844
惻	060FB	00845
筴	07B74	00846
矠	077E0	00847
墄	05884	00848
簎	07C0E	00849
㠁	03801	00850
篸	07BF8	00851
岑	05C91	00852
涔	06D94	00853
梣	068A3	00854
嶜	05D9C	00855
