#规范字	Unicode
一	4E00
乙	4E59
二	4E8C
十	5341
丁	4E01
厂	5382
七	4E03
卜	535C
八	516B
人	4EBA
入	5165
乂	4E42
儿	513F
九	4E5D
匕	5315
几	51E0
刁	5201
了	4E86
乃	4E43
刀	5200
力	529B
又	53C8
乜	4E5C
三	4E09
干	5E72
亍	4E8D
于	4E8E
亏	4E8F
士	58EB
土	571F
工	5DE5
才	624D
下	4E0B
寸	5BF8
丈	4E08
大	5927
兀	5140
与	4E0E
万	4E07
弋	5F0B
上	4E0A
小	5C0F
口	53E3
山	5C71
巾	5DFE
千	5343
乞	4E5E
川	5DDD
亿	4EBF
彳	5F73
个	4E2A
么	4E48
久	4E45
勺	52FA
丸	4E38
夕	5915
凡	51E1
及	53CA
广	5E7F
亡	4EA1
门	95E8
丫	4E2B
义	4E49
之	4E4B
尸	5C38
已	5DF2
巳	5DF3
弓	5F13
己	5DF1
卫	536B
孑	5B51
子	5B50
孓	5B53
也	4E5F
女	5973
飞	98DE
刃	5203
习	4E60
叉	53C9
马	9A6C
乡	4E61
幺	5E7A
丰	4E30
王	738B
井	4E95
开	5F00
亓	4E93
夫	592B
天	5929
元	5143
无	65E0
韦	97E6
云	4E91
专	4E13
丐	4E10
扎	624E
廿	5EFF
艺	827A
木	6728
五	4E94
支	652F
厅	5385
卅	5345
不	4E0D
仄	4EC4
太	592A
犬	72AC
区	533A
历	5386
友	53CB
歹	6B79
尤	5C24
匹	5339
厄	5384
车	8F66
巨	5DE8
牙	7259
屯	5C6F
戈	6208
比	6BD4
互	4E92
切	5207
瓦	74E6
止	6B62
少	5C11
曰	66F0
日	65E5
中	4E2D
贝	8D1D
内	5185
水	6C34
冈	5188
见	89C1
手	624B
午	5348
牛	725B
毛	6BDB
气	6C14
壬	58EC
升	5347
夭	592D
长	957F
仁	4EC1
仃	4EC3
什	4EC0
片	7247
仆	4EC6
仉	4EC9
化	5316
仇	4EC7
币	5E01
仂	4EC2
仍	4ECD
仅	4EC5
斤	65A4
爪	722A
反	53CD
兮	516E
刈	5208
介	4ECB
父	7236
爻	723B
从	4ECE
仑	4ED1
今	4ECA
凶	51F6
分	5206
乏	4E4F
公	516C
仓	4ED3
月	6708
氏	6C0F
勿	52FF
风	98CE
欠	6B20
丹	4E39
匀	5300
乌	4E4C
勾	52FE
殳	6BB3
凤	51E4
卞	535E
六	516D
文	6587
亢	4EA2
方	65B9
闩	95E9
火	706B
为	4E3A
斗	6597
忆	5FC6
计	8BA1
订	8BA2
户	6237
讣	8BA3
认	8BA4
讥	8BA5
冗	5197
心	5FC3
尹	5C39
尺	5C3A
夬	592C
引	5F15
丑	4E11
爿	723F
巴	5DF4
孔	5B54
队	961F
办	529E
以	4EE5
允	5141
邓	9093
予	4E88
劝	529D
双	53CC
书	4E66
毋	6BCB
幻	5E7B
玉	7389
刊	520A
末	672B
未	672A
示	793A
击	51FB
邗	9097
戋	620B
打	6253
巧	5DE7
正	6B63
扑	6251
卉	5349
扒	6252
邛	909B
功	529F
扔	6254
去	53BB
甘	7518
世	4E16
艾	827E
艽	827D
古	53E4
节	8282
艿	827F
本	672C
术	672F
札	672D
可	53EF
叵	53F5
匝	531D
丙	4E19
左	5DE6
厉	5389
丕	4E15
石	77F3
右	53F3
布	5E03
夯	592F
龙	9F99
戊	620A
平	5E73
灭	706D
轧	8F67
东	4E1C
匜	531C
劢	52A2
卡	5361
北	5317
占	5360
凸	51F8
卢	5362
业	4E1A
旧	65E7
帅	5E05
归	5F52
目	76EE
旦	65E6
且	4E14
叮	53EE
叶	53F6
甲	7532
申	7533
号	53F7
电	7535
田	7530
由	7531
卟	535F
叭	53ED
只	53EA
央	592E
史	53F2
叱	53F1
叽	53FD
兄	5144
叼	53FC
叩	53E9
叫	53EB
叻	53FB
叨	53E8
另	53E6
叹	53F9
冉	5189
皿	76BF
凹	51F9
囚	56DA
四	56DB
生	751F
失	5931
矢	77E2
氕	6C15
乍	4E4D
禾	79BE
仨	4EE8
仕	4ED5
丘	4E18
付	4ED8
仗	4ED7
代	4EE3
仙	4ED9
仟	4EDF
仡	4EE1
仫	4EEB
伋	4F0B
们	4EEC
仪	4EEA
白	767D
仔	4ED4
他	4ED6
仞	4EDE
斥	65A5
卮	536E
瓜	74DC
乎	4E4E
丛	4E1B
令	4EE4
用	7528
甩	7529
印	5370
氐	6C10
乐	4E50
尔	5C14
句	53E5
匆	5306
犰	72B0
册	518C
卯	536F
犯	72AF
外	5916
处	5904
冬	51AC
鸟	9E1F
务	52A1
刍	520D
包	5305
饥	9965
主	4E3B
市	5E02
庀	5E80
邝	909D
立	7ACB
冯	51AF
邙	9099
玄	7384
闪	95EA
兰	5170
半	534A
汀	6C40
汁	6C41
汇	6C47
头	5934
汈	6C48
汉	6C49
忉	5FC9
宁	5B81
穴	7A74
宄	5B84
它	5B83
讦	8BA6
讧	8BA7
讨	8BA8
写	5199
让	8BA9
礼	793C
讪	8BAA
讫	8BAB
训	8BAD
必	5FC5
议	8BAE
讯	8BAF
记	8BB0
永	6C38
司	53F8
尻	5C3B
尼	5C3C
民	6C11
弗	5F17
弘	5F18
阢	9622
出	51FA
阡	9621
辽	8FBD
奶	5976
奴	5974
尕	5C15
加	52A0
召	53EC
皮	76AE
边	8FB9
发	53D1
孕	5B55
圣	5723
对	5BF9
弁	5F01
台	53F0
矛	77DB
纠	7EA0
驭	9A6D
母	6BCD
幼	5E7C
丝	4E1D
匡	5321
耒	8012
邦	90A6
玎	738E
玑	7391
式	5F0F
迂	8FC2
刑	5211
邢	90A2
戎	620E
动	52A8
圩	5729
圬	572C
圭	572D
扛	625B
寺	5BFA
吉	5409
扣	6263
扦	6266
圪	572A
考	8003
托	6258
圳	5733
老	8001
圾	573E
巩	5DE9
执	6267
扩	6269
圹	5739
扪	626A
扫	626B
圯	572F
圮	572E
地	5730
扬	626C
场	573A
耳	8033
芋	828B
芏	828F
共	5171
芊	828A
芍	828D
芨	82A8
芄	8284
芒	8292
亚	4E9A
芝	829D
芎	828E
芑	8291
芗	8297
朽	673D
朴	6734
机	673A
权	6743
过	8FC7
亘	4E98
臣	81E3
吏	540F
再	518D
协	534F
西	897F
压	538B
厌	538C
厍	538D
戌	620C
在	5728
百	767E
有	6709
存	5B58
而	800C
页	9875
匠	5320
夸	5938
夺	593A
夼	593C
灰	7070
达	8FBE
戍	620D
尥	5C25
列	5217
死	6B7B
成	6210
夹	5939
夷	5937
轨	8F68
邪	90AA
尧	5C27
划	5212
迈	8FC8
毕	6BD5
至	81F3
此	6B64
乩	4E69
贞	8D1E
师	5E08
尘	5C18
尖	5C16
劣	52A3
光	5149
当	5F53
吁	5401
早	65E9
吐	5410
吓	5413
旯	65EF
曳	66F3
虫	866B
曲	66F2
团	56E2
同	540C
吕	5415
吊	540A
吃	5403
因	56E0
吸	5438
吗	5417
吆	5406
屿	5C7F
屹	5C79
岌	5C8C
帆	5E06
岁	5C81
回	56DE
岂	5C82
屺	5C7A
则	5219
刚	521A
网	7F51
肉	8089
凼	51FC
囝	56DD
囡	56E1
钆	9486
钇	9487
年	5E74
朱	6731
缶	7F36
氘	6C18
氖	6C16
牝	725D
先	5148
丢	4E22
廷	5EF7
舌	820C
竹	7AF9
迁	8FC1
乔	4E54
迄	8FC4
伟	4F1F
传	4F20
乒	4E52
乓	4E53
休	4F11
伍	4F0D
伎	4F0E
伏	4F0F
伛	4F1B
优	4F18
臼	81FC
伢	4F22
伐	4F10
仳	4EF3
延	5EF6
佤	4F64
仲	4EF2
仵	4EF5
件	4EF6
任	4EFB
伤	4F24
伥	4F25
价	4EF7
伦	4F26
份	4EFD
伧	4F27
华	534E
仰	4EF0
伉	4F09
仿	4EFF
伙	4F19
伪	4F2A
伫	4F2B
自	81EA
伊	4F0A
血	8840
向	5411
囟	56DF
似	4F3C
后	540E
行	884C
甪	752A
舟	821F
全	5168
会	4F1A
杀	6740
合	5408
兆	5146
企	4F01
汆	6C46
氽	6C3D
众	4F17
爷	7237
伞	4F1E
创	521B
刖	5216
肌	808C
肋	808B
朵	6735
杂	6742
夙	5919
危	5371
旬	65EC
旭	65ED
旮	65EE
旨	65E8
负	8D1F
犴	72B4
刎	520E
犷	72B7
匈	5308
犸	72B8
舛	821B
各	5404
名	540D
多	591A
凫	51EB
争	4E89
邬	90AC
色	8272
饧	9967
冱	51B1
壮	58EE
冲	51B2
妆	5986
冰	51B0
庄	5E84
庆	5E86
亦	4EA6
刘	5218
齐	9F50
交	4EA4
次	6B21
衣	8863
产	4EA7
决	51B3
亥	4EA5
邡	90A1
充	5145
妄	5984
闭	95ED
问	95EE
闯	95EF
羊	7F8A
并	5E76
关	5173
米	7C73
灯	706F
州	5DDE
汗	6C57
污	6C61
江	6C5F
汕	6C55
汔	6C54
汲	6C72
汐	6C50
汛	6C5B
汜	6C5C
池	6C60
汝	6C5D
汤	6C64
汊	6C4A
忖	5FD6
忏	5FCF
忙	5FD9
兴	5174
宇	5B87
守	5B88
宅	5B85
字	5B57
安	5B89
讲	8BB2
讳	8BB3
讴	8BB4
军	519B
讵	8BB5
讶	8BB6
祁	7941
讷	8BB7
许	8BB8
讹	8BB9
论	8BBA
讼	8BBC
农	519C
讽	8BBD
设	8BBE
访	8BBF
诀	8BC0
聿	807F
寻	5BFB
那	90A3
艮	826E
厾	53BE
迅	8FC5
尽	5C3D
导	5BFC
异	5F02
弛	5F1B
阱	9631
阮	962E
孙	5B59
阵	9635
阳	9633
收	6536
阪	962A
阶	9636
阴	9634
防	9632
丞	4E1E
奸	5978
如	5982
妁	5981
妇	5987
妃	5983
好	597D
她	5979
妈	5988
戏	620F
羽	7FBD
观	89C2
牟	725F
欢	6B22
买	4E70
纡	7EA1
红	7EA2
纣	7EA3
驮	9A6E
纤	7EA4
纥	7EA5
驯	9A6F
纨	7EA8
约	7EA6
级	7EA7
纩	7EA9
纪	7EAA
驰	9A70
纫	7EAB
巡	5DE1
寿	5BFF
玕	7395
弄	5F04
玙	7399
麦	9EA6
玖	7396
玚	739A
玛	739B
形	5F62
进	8FDB
戒	6212
吞	541E
远	8FDC
违	8FDD
韧	97E7
运	8FD0
扶	6276
抚	629A
坛	575B
抟	629F
技	6280
坏	574F
抔	6294
抠	62A0
坜	575C
扰	6270
扼	627C
拒	62D2
找	627E
批	6279
扯	626F
址	5740
走	8D70
抄	6284
汞	6C5E
坝	575D
贡	8D21
攻	653B
赤	8D64
圻	573B
折	6298
抓	6293
扳	6273
坂	5742
抡	62A1
扮	626E
抢	62A2
扺	627A
孝	5B5D
坎	574E
坍	574D
均	5747
坞	575E
抑	6291
抛	629B
投	6295
抃	6283
坟	575F
坑	5751
抗	6297
坊	574A
抖	6296
护	62A4
壳	58F3
志	5FD7
扭	626D
块	5757
抉	6289
声	58F0
把	628A
报	62A5
拟	62DF
抒	6292
却	5374
劫	52AB
毐	6BD0
芙	8299
芫	82AB
芜	829C
苇	82C7
邯	90AF
芸	82B8
芾	82BE
芰	82B0
苈	82C8
苊	82CA
苣	82E3
芽	82BD
芷	82B7
芮	82AE
苋	82CB
芼	82BC
苌	82CC
花	82B1
芹	82B9
芥	82A5
苁	82C1
芩	82A9
芬	82AC
苍	82CD
芪	82AA
芴	82B4
芡	82A1
芟	829F
苄	82C4
芳	82B3
严	4E25
苎	82CE
芦	82A6
芯	82AF
劳	52B3
克	514B
芭	82AD
苏	82CF
苡	82E1
杆	6746
杜	675C
杠	6760
材	6750
村	6751
杖	6756
杌	674C
杏	674F
杉	6749
巫	5DEB
杓	6753
极	6781
杧	6767
杞	675E
李	674E
杨	6768
杈	6748
求	6C42
忑	5FD1
孛	5B5B
甫	752B
匣	5323
更	66F4
束	675F
吾	543E
豆	8C46
两	4E24
邴	90B4
酉	9149
丽	4E3D
医	533B
辰	8FB0
励	52B1
邳	90B3
否	5426
还	8FD8
矶	77F6
奁	5941
豕	8C55
尬	5C2C
歼	6B7C
来	6765
忒	5FD2
连	8FDE
欤	6B24
轩	8F69
轪	8F6A
轫	8F6B
迓	8FD3
邶	90B6
忐	5FD0
芈	8288
步	6B65
卤	5364
卣	5363
邺	90BA
坚	575A
肖	8096
旰	65F0
旱	65F1
盯	76EF
呈	5448
时	65F6
吴	5434
呋	544B
助	52A9
县	53BF
里	91CC
呓	5453
呆	5446
吱	5431
吠	5420
呔	5454
呕	5455
园	56ED
呖	5456
呃	5443
旷	65F7
围	56F4
呀	5440
吨	5428
旸	65F8
吡	5421
町	753A
足	8DB3
虬	866C
邮	90AE
男	7537
困	56F0
吵	5435
串	4E32
呙	5459
呐	5450
呗	5457
员	5458
听	542C
吟	541F
吩	5429
呛	545B
吻	543B
吹	5439
呜	545C
吭	542D
吣	5423
吲	5432
吼	543C
邑	9091
吧	5427
囤	56E4
别	522B
吮	542E
岍	5C8D
帏	5E0F
岐	5C90
岖	5C96
岈	5C88
岗	5C97
岘	5C98
帐	5E10
岑	5C91
岚	5C9A
兕	5155
财	8D22
囵	56F5
囫	56EB
钉	9489
针	9488
钊	948A
钋	948B
钌	948C
迕	8FD5
氙	6C19
氚	6C1A
牡	7261
告	544A
我	6211
乱	4E71
利	5229
秃	79C3
秀	79C0
私	79C1
岙	5C99
每	6BCF
佞	4F5E
兵	5175
邱	90B1
估	4F30
体	4F53
何	4F55
佐	4F50
伾	4F3E
佑	4F51
攸	6538
但	4F46
伸	4F38
佃	4F43
佚	4F5A
作	4F5C
伯	4F2F
伶	4F36
佣	4F63
低	4F4E
你	4F60
佝	4F5D
佟	4F5F
住	4F4F
位	4F4D
伴	4F34
佗	4F57
身	8EAB
皂	7682
伺	4F3A
佛	4F5B
伽	4F3D
囱	56F1
近	8FD1
彻	5F7B
役	5F79
彷	5F77
返	8FD4
佘	4F58
余	4F59
希	5E0C
佥	4F65
坐	5750
谷	8C37
孚	5B5A
妥	59A5
豸	8C78
含	542B
邻	90BB
坌	574C
岔	5C94
肝	809D
肟	809F
肛	809B
肚	809A
肘	8098
肠	80A0
邸	90B8
龟	9F9F
甸	7538
奂	5942
免	514D
劬	52AC
狂	72C2
犹	72B9
狈	72C8
狄	72C4
角	89D2
删	5220
狃	72C3
狁	72C1
鸠	9E20
条	6761
彤	5F64
卵	5375
灸	7078
岛	5C9B
邹	90B9
刨	5228
饨	9968
迎	8FCE
饩	9969
饪	996A
饫	996B
饬	996C
饭	996D
饮	996E
系	7CFB
言	8A00
冻	51BB
状	72B6
亩	4EA9
况	51B5
亨	4EA8
庑	5E91
床	5E8A
庋	5E8B
库	5E93
庇	5E87
疔	7594
疖	7596
疗	7597
吝	541D
应	5E94
冷	51B7
这	8FD9
庐	5E90
序	5E8F
辛	8F9B
肓	8093
弃	5F03
冶	51B6
忘	5FD8
闰	95F0
闱	95F1
闲	95F2
闳	95F3
间	95F4
闵	95F5
闶	95F6
闷	95F7
羌	7F8C
判	5224
兑	5151
灶	7076
灿	707F
灼	707C
炀	7080
弟	5F1F
沣	6CA3
汪	6C6A
沅	6C85
沄	6C84
沐	6C90
沛	6C9B
沔	6C94
汰	6C70
沤	6CA4
沥	6CA5
沌	6C8C
沘	6C98
沏	6C8F
沚	6C9A
沙	6C99
汩	6C69
汨	6C68
汭	6C6D
汽	6C7D
沃	6C83
沂	6C82
沦	6CA6
汹	6C79
汾	6C7E
泛	6CDB
沧	6CA7
沨	6CA8
沟	6C9F
没	6CA1
汴	6C74
汶	6C76
沆	6C86
沩	6CA9
沪	6CAA
沈	6C88
沉	6C89
沁	6C81
泐	6CD0
怃	6003
忮	5FEE
怀	6000
怄	6004
忧	5FE7
忡	5FE1
忤	5FE4
忾	5FFE
怅	6005
忻	5FFB
忪	5FEA
怆	6006
忭	5FED
忱	5FF1
快	5FEB
忸	5FF8
完	5B8C
宋	5B8B
宏	5B8F
牢	7262
究	7A76
穷	7A77
灾	707E
良	826F
证	8BC1
诂	8BC2
诃	8BC3
启	542F
评	8BC4
补	8865
初	521D
社	793E
祀	7940
祃	7943
诅	8BC5
识	8BC6
诈	8BC8
诉	8BC9
罕	7F55
诊	8BCA
诋	8BCB
诌	8BCC
词	8BCD
诎	8BCE
诏	8BCF
诐	8BD0
译	8BD1
诒	8BD2
君	541B
灵	7075
即	5373
层	5C42
屁	5C41
屃	5C43
尿	5C3F
尾	5C3E
迟	8FDF
局	5C40
改	6539
