#漢字	Unicode	序號
一	4E00	0001
丁	4E01	0002
七	4E03	0003
三	4E09	0004
下	4E0B	0005
上	4E0A	0006
丈	4E08	0007
丑	4E11	0008
丐	4E10	0009
不	4E0D	0010
丕	4E15	0011
丙	4E19	0012
世	4E16	0013
且	4E14	0014
丘	4E18	0015
丞	4E1E	0016
丟	4E1F	0017
並	4E26	0018
丫	4E2B	0019
中	4E2D	0020
串	4E32	0021
丸	4E38	0022
凡	51E1	0023
丹	4E39	0024
主	4E3B	0025
乃	4E43	0026
久	4E45	0027
之	4E4B	0028
尹	5C39	0029
乍	4E4D	0030
乏	4E4F	0031
乎	4E4E	0032
乒	4E52	0033
乓	4E53	0034
乖	4E56	0035
乘	4E58	0036
乙	4E59	0037
九	4E5D	0038
也	4E5F	0039
乞	4E5E	0040
乩	4E69	0041
乳	4E73	0042
乾	4E7E	0043
亂	4E82	0044
了	4E86	0045
予	4E88	0046
事	4E8B	0047
二	4E8C	0048
于	4E8E	0049
云	4E91	0050
井	4E95	0051
互	4E92	0052
五	4E94	0053
亙	4E99	0054
些	4E9B	0055
亞	4E9E	0056
亟	4E9F	0057
亡	4EA1	0058
交	4EA4	0059
亦	4EA6	0060
亥	4EA5	0061
亨	4EA8	0062
享	4EAB	0063
京	4EAC	0064
亭	4EAD	0065
亮	4EAE	0066
人	4EBA	0067
仁	4EC1	0068
什	4EC0	0069
仃	4EC3	0070
今	4ECA	0071
仄	4EC4	0072
仆	4EC6	0073
仇	4EC7	0074
仍	4ECD	0075
介	4ECB	0076
付	4ED8	0077
仔	4ED4	0078
仕	4ED5	0079
他	4ED6	0080
仗	4ED7	0081
代	4EE3	0082
令	4EE4	0083
仞	4EDE	0084
以	4EE5	0085
仙	4ED9	0086
仿	4EFF	0087
伉	4F09	0088
伙	4F19	0089
伊	4F0A	0090
伕	4F15	0091
伍	4F0D	0092
伐	4F10	0093
休	4F11	0094
伏	4F0F	0095
任	4EFB	0096
仳	4EF3	0097
仲	4EF2	0098
企	4F01	0099
件	4EF6	0100
仰	4EF0	0101
份	4EFD	0102
位	4F4D	0103
住	4F4F	0104
佇	4F47	0105
佗	4F57	0106
伴	4F34	0107
佞	4F5E	0108
佛	4F5B	0109
何	4F55	0110
估	4F30	0111
佐	4F50	0112
佑	4F51	0113
佈	4F48	0114
伽	4F3D	0115
伺	4F3A	0116
伸	4F38	0117
佃	4F43	0118
佔	4F54	0119
似	4F3C	0120
但	4F46	0121
佣	4F63	0122
作	4F5C	0123
你	4F60	0124
伯	4F2F	0125
低	4F4E	0126
伶	4F36	0127
余	4F59	0128
佝	4F5D	0129
佯	4F6F	0130
依	4F9D	0131
併	4F75	0132
侍	4F8D	0133
佳	4F73	0134
使	4F7F	0135
佬	4F6C	0136
供	4F9B	0137
例	4F8B	0138
來	4F86	0139
佰	4F70	0140
侃	4F83	0141
侈	4F88	0142
佩	4F69	0143
佻	4F7B	0144
侖	4F96	0145
侏	4F8F	0146
信	4FE1	0147
侵	4FB5	0148
侯	4FAF	0149
便	4FBF	0150
俠	4FE0	0151
俑	4FD1	0152
俏	4FCF	0153
保	4FDD	0154
促	4FC3	0155
侶	4FB6	0156
俚	4FDA	0157
俘	4FD8	0158
俟	4FDF	0159
俊	4FCA	0160
俗	4FD7	0161
侮	4FAE	0162
俐	4FD0	0163
俄	4FC4	0164
係	4FC2	0165
俎	4FCE	0166
俞	4FDE	0167
倌	500C	0168
倍	500D	0169
倣	5023	0170
俯	4FEF	0171
倦	5026	0172
倥	5025	0173
俸	4FF8	0174
倩	5029	0175
倖	5016	0176
倆	5006	0177
值	503C	0178
借	501F	0179
倚	501A	0180
倒	5012	0181
們	5011	0182
俺	4FFA	0183
倀	5000	0184
倔	5014	0185
倨	5028	0186
俱	4FF1	0187
倡	5021	0188
個	500B	0189
候	5019	0190
倘	5018	0191
俳	4FF3	0192
修	4FEE	0193
倭	502D	0194
倪	502A	0195
俾	4FFE	0196
倫	502B	0197
倉	5009	0198
偽	507D	0199
停	505C	0200
偏	504F	0201
假	5047	0202
偃	5043	0203
偌	504C	0204
做	505A	0205
偉	5049	0206
健	5065	0207
偶	5076	0208
偎	504E	0209
偕	5055	0210
偵	5075	0211
側	5074	0212
倏	500F	0213
偷	5077	0214
傢	50A2	0215
傍	508D	0216
傅	5085	0217
備	5099	0218
傑	5091	0219
傀	5080	0220
傖	5096	0221
傘	5098	0222
傭	50AD	0223
債	50B5	0224
傲	50B2	0225
傳	50B3	0226
僅	50C5	0227
傾	50BE	0228
催	50AC	0229
傷	50B7	0230
傻	50BB	0231
僧	50E7	0232
僮	50EE	0233
僱	50F1	0234
僥	50E5	0235
僭	50ED	0236
僖	50D6	0237
僚	50DA	0238
僕	50D5	0239
像	50CF	0240
僑	50D1	0241
億	5104	0242
儀	5100	0243
僻	50FB	0244
僵	50F5	0245
價	50F9	0246
儂	5102	0247
儈	5108	0248
儉	5109	0249
儐	5110	0250
儒	5112	0251
儘	5118	0252
儔	5114	0253
儲	5132	0254
優	512A	0255
償	511F	0256
儡	5121	0257
儷	5137	0258
儼	513C	0259
兀	5140	0260
元	5143	0261
允	5141	0262
兄	5144	0263
充	5145	0264
光	5149	0265
兇	5147	0266
兆	5146	0267
先	5148	0268
克	514B	0269
兑	5151	0270
免	514D	0271
兕	5155	0272
兔	5154	0273
兒	5152	0274
兗	5157	0275
兜	515C	0276
兢	5162	0277
入	5165	0278
內	5167	0279
全	5168	0280
兩	5169	0281
八	516B	0282
六	516D	0283
兮	516E	0284
公	516C	0285
共	5171	0286
兵	5175	0287
具	5177	0288
其	5176	0289
典	5178	0290
兼	517C	0291
冀	5180	0292
冉	5189	0293
冊	518A	0294
再	518D	0295
冒	5192	0296
冑	5191	0297
冕	5195	0298
最	6700	0299
冠	51A0	0300
冢	51A2	0301
冥	51A5	0302
冤	51A4	0303
冬	51AC	0304
冰	51B0	0305
冶	51B6	0306
冷	51B7	0307
冽	51BD	0308
凍	51CD	0309
凌	51CC	0310
准	51C6	0311
凋	51CB	0312
凜	51DC	0313
凝	51DD	0314
几	51E0	0315
凰	51F0	0316
凱	51F1	0317
凳	51F3	0318
凶	51F6	0319
凹	51F9	0320
出	51FA	0321
凸	51F8	0322
函	51FD	0323
刀	5200	0324
刁	5201	0325
刃	5203	0326
切	5207	0327
分	5206	0328
刈	5208	0329
刊	520A	0330
列	5217	0331
刑	5211	0332
划	5212	0333
刎	520E	0334
判	5224	0335
別	5225	0336
刪	522A	0337
利	5229	0338
刨	5228	0339
刻	523B	0340
券	5238	0341
刷	5237	0342
刺	523A	0343
到	5230	0344
刮	522E	0345
制	5236	0346
剁	5241	0347
剃	5243	0348
前	524D	0349
剌	524C	0350
剋	524B	0351
則	5247	0352
削	524A	0353
剎	524E	0354
剖	5256	0355
剜	525C	0356
剔	5254	0357
剛	525B	0358
剝	525D	0359
剪	526A	0360
副	526F	0361
割	5272	0362
剴	5274	0363
創	5275	0364
剩	5269	0365
剷	5277	0366
剽	527D	0367
剿	527F	0368
劃	5283	0369
劈	5288	0370
劇	5287	0371
劉	5289	0372
劍	528D	0373
劑	5291	0374
力	529B	0375
加	52A0	0376
功	529F	0377
劣	52A3	0378
劫	52AB	0379
助	52A9	0380
努	52AA	0381
劬	52AC	0382
劾	52BE	0383
勇	52C7	0384
勃	52C3	0385
勉	52C9	0386
勁	52C1	0387
勒	52D2	0388
務	52D9	0389
勘	52D8	0390
動	52D5	0391
勞	52DE	0392
勛	52DB	0393
勝	52DD	0394
募	52DF	0395
勤	52E4	0396
勢	52E2	0397
勵	52F5	0398
勸	52F8	0399
勻	52FB	0400
勾	52FE	0401
勿	52FF	0402
包	5305	0403
匆	5306	0404
匈	5308	0405
匍	530D	0406
匐	5310	0407
匏	530F	0408
匕	5315	0409
化	5316	0410
北	5317	0411
匙	5319	0412
匝	531D	0413
匡	5321	0414
匠	5320	0415
匣	5323	0416
匪	532A	0417
匯	532F	0418
匱	5331	0419
匹	5339	0420
匾	533E	0421
匿	533F	0422
區	5340	0423
十	5341	0424
千	5343	0425
卅	5345	0426
午	5348	0427
升	5347	0428
半	534A	0429
卉	5349	0430
仟	4EDF	0431
卒	5352	0432
協	5354	0433
卓	5353	0434
卑	5351	0435
南	5357	0436
博	535A	0437
卜	535C	0438
卞	535E	0439
卡	5361	0440
占	5360	0441
卦	5366	0442
卯	536F	0443
卮	536E	0444
印	5370	0445
危	5371	0446
即	5373	0447
卵	5375	0448
卷	5377	0449
卸	5378	0450
卹	5379	0451
卻	537B	0452
卿	537F	0453
厄	5384	0454
厚	539A	0455
原	539F	0456
厥	53A5	0457
厭	53AD	0458
厲	53B2	0459
去	53BB	0460
參	53C3	0461
又	53C8	0462
叉	53C9	0463
友	53CB	0464
反	53CD	0465
及	53CA	0466
取	53D6	0467
叔	53D4	0468
受	53D7	0469
叛	53DB	0470
叟	53DF	0471
曼	66FC	0472
叢	53E2	0473
口	53E3	0474
可	53EF	0475
古	53E4	0476
右	53F3	0477
召	53EC	0478
叮	53EE	0479
叩	53E9	0480
叨	53E8	0481
叼	53FC	0482
司	53F8	0483
叵	53F5	0484
另	53E6	0485
叫	53EB	0486
只	53EA	0487
史	53F2	0488
叱	53F1	0489
台	53F0	0490
句	53E5	0491
叭	53ED	0492
吉	5409	0493
吏	540F	0494
吐	5410	0495
吁	5401	0496
吋	540B	0497
同	540C	0498
各	5404	0499
向	5411	0500
名	540D	0501
合	5408	0502
吃	5403	0503
后	540E	0504
吆	5406	0505
吒	5412	0506
吊	540A	0507
吝	541D	0508
吭	542D	0509
吞	541E	0510
吾	543E	0511
否	5426	0512
呎	544E	0513
吧	5427	0514
呃	5443	0515
君	541B	0516
吠	5420	0517
吼	543C	0518
呀	5440	0519
吱	5431	0520
呆	5446	0521
吳	5433	0522
吵	5435	0523
吶	5436	0524
呈	5448	0525
呂	5442	0526
吩	5429	0527
告	544A	0528
吹	5439	0529
吻	543B	0530
吸	5438	0531
吮	542E	0532
含	542B	0533
吟	541F	0534
味	5473	0535
呵	5475	0536
咖	5496	0537
呸	5478	0538
咕	5495	0539
呢	5462	0540
咀	5480	0541
呻	547B	0542
呷	5477	0543
咄	5484	0544
咒	5492	0545
咆	5486	0546
呼	547C	0547
咐	5490	0548
呱	5471	0549
呶	5476	0550
和	548C	0551
咚	549A	0552
周	5468	0553
咋	548B	0554
命	547D	0555
咎	548E	0556
咬	54AC	0557
哀	54C0	0558
咩	54A9	0559
咨	54A8	0560
咳	54B3	0561
咪	54AA	0562
哎	54CE	0563
哉	54C9	0564
咦	54A6	0565
哇	54C7	0566
哂	54C2	0567
哄	54C4	0568
咫	54AB	0569
咧	54A7	0570
咽	54BD	0571
品	54C1	0572
哈	54C8	0573
咯	54AF	0574
咱	54B1	0575
咻	54BB	0576
咸	54B8	0577
唐	5510	0578
唁	5501	0579
哼	54FC	0580
哥	54E5	0581
哲	54F2	0582
哺	54FA	0583
唔	5514	0584
哮	54EE	0585
哪	54EA	0586
唧	5527	0587
哩	54E9	0588
哭	54ED	0589
員	54E1	0590
哨	54E8	0591
唆	5506	0592
唉	5509	0593
哦	54E6	0594
唷	5537	0595
商	5546	0596
啖	5556	0597
唳	5533	0598
啪	556A	0599
啦	5566	0600
啄	5544	0601
啞	555E	0602
啊	554A	0603
啜	555C	0604
啃	5543	0605
唱	5531	0606
問	554F	0607
唬	552C	0608
啡	5561	0609
啕	5555	0610
唯	552F	0611
啤	5564	0612
唸	5538	0613
售	552E	0614
啣	5563	0615
啁	5541	0616
啥	5565	0617
啻	557B	0618
喀	5580	0619
喧	55A7	0620
啼	557C	0621
喜	559C	0622
喪	55AA	0623
喔	5594	0624
喇	5587	0625
喋	558B	0626
喃	5583	0627
喳	55B3	0628
喱	55B1	0629
喝	559D	0630
喘	5598	0631
喂	5582	0632
單	55AE	0633
喟	559F	0634
喊	558A	0635
唾	553E	0636
喲	55B2	0637
喚	559A	0638
喻	55BB	0639
喬	55AC	0640
啾	557E	0641
喉	5589	0642
嗟	55DF	0643
嗨	55E8	0644
嗓	55D3	0645
嗦	55E6	0646
嗎	55CE	0647
嗜	55DC	0648
嗇	55C7	0649
嗑	55D1	0650
嗣	55E3	0651
嗤	55E4	0652
嗯	55EF	0653
嗚	55DA	0654
嗡	55E1	0655
嗅	55C5	0656
嗆	55C6	0657
嗥	55E5	0658
嗾	55FE	0659
嘀	5600	0660
嘛	561B	0661
嗽	55FD	0662
嘔	5614	0663
嘉	5609	0664
嗷	55F7	0665
嘖	5616	0666
嘟	561F	0667
嘈	5608	0668
嘗	5617	0669
嘍	560D	0670
嘮	562E	0671
嘻	563B	0672
嘹	5639	0673
嘲	5632	0674
嘩	5629	0675
噎	564E	0676
噴	5674	0677
嘶	5636	0678
嘿	563F	0679
嘰	5630	0680
噓	5653	0681
噗	5657	0682
嘴	5634	0683
噫	566B	0684
噩	5669	0685
噤	5664	0686
噸	5678	0687
噹	5679	0688
噪	566A	0689
器	5668	0690
噥	5665	0691
噱	5671	0692
噙	5659	0693
噯	566F	0694
噬	566C	0695
噢	5662	0696
嘯	562F	0697
嚎	568E	0698
嚀	5680	0699
嚅	5685	0700
嚇	5687	0701
嚏	568F	0702
嚕	5695	0703
嚮	56AE	0704
嚨	56A8	0705
嚥	56A5	0706
嚷	56B7	0707
嚶	56B6	0708
嚴	56B4	0709
嚼	56BC	0710
囁	56C1	0711
囀	56C0	0712
囂	56C2	0713
囈	56C8	0714
囊	56CA	0715
囉	56C9	0716
囌	56CC	0717
囑	56D1	0718
四	56DB	0719
囚	56DA	0720
因	56E0	0721
回	56DE	0722
困	56F0	0723
囤	56E4	0724
囱	56F1	0725
固	56FA	0726
圃	5703	0727
圈	5708	0728
國	570B	0729
圍	570D	0730
園	5712	0731
圓	5713	0732
團	5718	0733
圖	5716	0734
土	571F	0735
地	5730	0736
在	5728	0737
圭	572D	0738
圬	572C	0739
圯	572F	0740
圳	5733	0741
坊	574A	0742
坑	5751	0743
址	5740	0744
坍	574D	0745
均	5747	0746
坎	574E	0747
圾	573E	0748
坐	5750	0749
坏	574F	0750
垃	5783	0751
坷	5777	0752
坪	576A	0753
坩	5769	0754
坡	5761	0755
坦	5766	0756
坤	5764	0757
坼	577C	0758
垂	5782	0759
型	578B	0760
垠	57A0	0761
垣	57A3	0762
垮	57AE	0763
垢	57A2	0764
城	57CE	0765
埔	57D4	0766
埋	57CB	0767
埃	57C3	0768
培	57F9	0769
域	57DF	0770
堅	5805	0771
基	57FA	0772
堵	5835	0773
執	57F7	0774
堂	5802	0775
堆	5806	0776
埠	57E0	0777
報	5831	0778
堯	582F	0779
堪	582A	0780
堰	5830	0781
場	5834	0782
堤	5824	0783
堡	5821	0784
塞	585E	0785
塑	5851	0786
塘	5858	0787
塗	5857	0788
塚	585A	0789
塔	5854	0790
填	586B	0791
塌	584C	0792
塊	584A	0793
塢	5862	0794
塵	5875	0795
塾	587E	0796
境	5883	0797
墓	5893	0798
墊	588A	0799
塹	5879	0800
墅	5885	0801
增	589E	0802
墀	5880	0803
墳	58B3	0804
墜	589C	0805
墮	58AE	0806
墟	589F	0807
壅	58C5	0808
壇	58C7	0809
壁	58C1	0810
墾	58BE	0811
壕	58D5	0812
壓	58D3	0813
壑	58D1	0814
壙	58D9	0815
壘	58D8	0816
壞	58DE	0817
壟	58DF	0818
壤	58E4	0819
壩	58E9	0820
士	58EB	0821
壬	58EC	0822
壯	58EF	0823
壹	58F9	0824
壺	58FA	0825
壽	58FD	0826
夏	590F	0827
夕	5915	0828
外	5916	0829
夙	5919	0830
多	591A	0831
夜	591C	0832
夠	5920	0833
夥	5925	0834
夢	5922	0835
夤	5924	0836
大	5927	0837
太	592A	0838
天	5929	0839
夫	592B	0840
夭	592D	0841
央	592E	0842
失	5931	0843
夷	5937	0844
夸	5938	0845
夾	593E	0846
奉	5949	0847
奇	5947	0848
奈	5948	0849
奔	5954	0850
奄	5944	0851
奕	5955	0852
契	5951	0853
奏	594F	0854
奎	594E	0855
奐	5950	0856
套	5957	0857
奘	5958	0858
奚	595A	0859
奢	5962	0860
奠	5960	0861
