#漢字   Unicode
〇	3007
㐵	3435
㑀	3440
㑊	344A
㑌	344C
㑤	3464
㑳	3473
㑺	347A
㑽	347D
㑾	347E
㒓	3493
㒖	3496
㒥	34A5
㒯	34AF
㒼	34BC
㓁	34C1
㓈	34C8
㓟	34DF
㓤	34E4
㓦	34E6
㓻	34FB
㔆	3506
㔾	353E
㕑	3551
㕓	3553
㕙	3559
㕡	3561
㕭	356D
㕰	3570
㕲	3572
㕷	3577
㕸	3578
㖄	3584
㖗	3597
㖘	3598
㖡	35A1
㖥	35A5
㖭	35AD
㖿	35BF
㗁	35C1
㗅	35C5
㗇	35C7
㗊	35CA
㗎	35CE
㗒	35D2
㗖	35D6
㗛	35DB
㗝	35DD
㗱	35F1
㗲	35F2
㗳	35F3
㗻	35FB
㗾	35FE
㘉	3609
㘘	3618
㘚	361A
㘣	3623
㘥	3625
㘭	362D
㘵	3635
㘹	3639
㘾	363E
㙇	3647
㙈	3648
㙉	3649
㙎	364E
㙟	365F
㙡	3661
㙺	367A
㚁	3681
㚚	369A
㚥	36A5
㚪	36AA
㚬	36AC
㚰	36B0
㚱	36B1
㚵	36B5
㚹	36B9
㚼	36BC
㛁	36C1
㛃	36C3
㛄	36C4
㛅	36C5
㛇	36C7
㛈	36C8
㛓	36D3
㛔	36D4
㛖	36D6
㛝	36DD
㛡	36E1
㛢	36E2
㛥	36E5
㛦	36E6
㛵	36F5
㜁	3701
㜃	3703
㜈	3708
㜊	370A
㜍	370D
㜜	371C
㜢	3722
㜣	3723
㜥	3725
㜬	372C
㜭	372D
㜰	3730
㜲	3732
㜳	3733
㜺	373A
㝀	3740
㝃	3743
㝢	3762
㝯	376F
㞗	3797
㞠	37A0
㞹	37B9
㞾	37BE
㟖	37D6
㟲	37F2
㟸	37F8
㟻	37FB
㠏	380F
㠙	3819
㠠	3820
㠭	382D
㠶	3836
㠸	3838
㡣	3863
㡵	3875
㢠	38A0
㣃	38C3
㣌	38CC
㣑	38D1
㣔	38D4
㣺	38FA
㤈	3908
㤔	3914
㤧	3927
㤲	3932
㤿	393F
㥍	394D
㥣	3963
㥸	3978
㦀	3980
㦉	3989
㦊	398A
㦒	3992
㦙	3999
㦛	399B
㦡	39A1
㦤	39A4
㦸	39B8
㧜	39DC
㧢	39E2
㧥	39E5
㧬	39EC
㧸	39F8
㧻	39FB
㧾	39FE
㨁	3A01
㨃	3A03
㨆	3A06
㨗	3A17
㨘	3A18
㨩	3A29
㨪	3A2A
㨴	3A34
㩋	3A4B
㩒	3A52
㩗	3A57
㩜	3A5C
㩞	3A5E
㩦	3A66
㩧	3A67
㪗	3A97
㪫	3AAB
㪽	3ABD
㫞	3ADE
㫠	3AE0
㫰	3AF0
㫲	3AF2
㫵	3AF5
㫻	3AFB
㬎	3B0E
㬙	3B19
㬢	3B22
㬫	3B2B
㬹	3B39
㭂	3B42
㭘	3B58
㭠	3B60
㭱	3B71
㭲	3B72
㭻	3B7B
㭼	3B7C
㮀	3B80
㮕	3B95
㮖	3B96
㮙	3B99
㮡	3BA1
㮼	3BBC
㮾	3BBE
㯂	3BC2
㯄	3BC4
㯗	3BD7
㯝	3BDD
㯬	3BEC
㯲	3BF2
㯳	3BF3
㯴	3BF4
㰍	3C0D
㰑	3C11
㰕	3C15
㰘	3C18
㱔	3C54
㲋	3C8B
㳋	3CCB
㳍	3CCD
㳑	3CD1
㳖	3CD6
㳜	3CDC
㳫	3CEB
㳯	3CEF
㴒	3D12
㴓	3D13
㴲	3D32
㴻	3D3B
㵆	3D46
㵌	3D4C
㵎	3D4E
㵑	3D51
㵟	3D5F
㵢	3D62
㵩	3D69
㵪	3D6A
㵯	3D6F
㵵	3D75
㵽	3D7D
㶅	3D85
㶈	3D88
㶊	3D8A
㶏	3D8F
㶑	3D91
㶥	3DA5
㶭	3DAD
㶴	3DB4
㶿	3DBF
㷆	3DC6
㷇	3DC7
㷉	3DC9
㷌	3DCC
㷍	3DCD
㷓	3DD3
㷛	3DDB
㷧	3DE7
㷨	3DE8
㷫	3DEB
㷳	3DF3
㷴	3DF4
㷷	3DF7
㷼	3DFC
㷽	3DFD
㸆	3E06
㹀	3E40
㹃	3E43
㹈	3E48
㹕	3E55
㹴	3E74
㺨	3EA8
㺩	3EA9
㺪	3EAA
㺭	3EAD
㺱	3EB1
㺸	3EB8
㺿	3EBF
㻂	3EC2
㻇	3EC7
㻊	3ECA
㻌	3ECC
㻐	3ED0
㻑	3ED1
㻖	3ED6
㻗	3ED7
㻚	3EDA
㻛	3EDB
㻞	3EDE
㻡	3EE1
㻢	3EE2
㻧	3EE7
㻩	3EE9
㻫	3EEB
㻬	3EEC
㻰	3EF0
㻳	3EF3
㻴	3EF4
㻺	3EFA
㻼	3EFC
㻿	3EFF
㼀	3F00
㼄	3F04
㼆	3F06
㼇	3F07
㼎	3F0E
㽓	3F53
㽘	3F58
㽙	3F59
㽣	3F63
㽼	3F7C
㾓	3F93
㿀	3FC0
㿈	3FC8
㿗	3FD7
㿜	3FDC
㿥	3FE5
㿭	3FED
㿹	3FF9
㿺	3FFA
䀄	4004
䀉	4009
䀝	401D
䀹	4039
䁅	4045
䁓	4053
䁗	4057
䁢	4062
䁥	4065
䁪	406A
䁯	406F
䁱	4071
䂨	40A8
䂴	40B4
䂻	40BB
䂿	40BF
䃈	40C8
䃘	40D8
䃟	40DF
䃸	40F8
䃺	40FA
䄂	4102
䄃	4103
䄄	4104
䄉	4109
䄎	410E
䄱	4131
䄲	4132
䅧	4167
䅬	416C
䅮	416E
䅼	417C
䅿	417F
䆁	4181
䆐	4190
䆲	41B2
䇄	41C4
䇊	41CA
䇏	41CF
䇛	41DB
䇭	41ED
䇯	41EF
䇹	41F9
䈑	4211
䈣	4223
䉀	4240
䉠	4260
䉪	426A
䉶	4276
䉺	427A
䊌	428C
䊔	4294
䊢	42A2
䊵	42B5
䊹	42B9
䊼	42BC
䋴	42F4
䋻	42FB
䋼	42FC
䌊	430A
䌫	432B
䍮	436E
䎗	4397
䎚	439A
䎺	43BA
䏁	43C1
䏙	43D9
䏟	43DF
䏭	43ED
䏰	43F0
䏲	43F2
䐁	4401
䐂	4402
䐓	4413
䐥	4425
䐭	442D
䑺	447A
䒏	448F
䒑	4491
䒟	449F
䒠	44A0
䒢	44A2
䒰	44B0
䒷	44B7
䒽	44BD
䓀	44C0
䓃	44C3
䓅	44C5
䓎	44CE
䓝	44DD
䓞	44DE
䓟	44DF
䓡	44E1
䓤	44E4
䓩	44E9
䓪	44EA
䓫	44EB
䓬	44EC
䓴	44F4
䔃	4503
䔄	4504
䔉	4509
䔋	450B
䔖	4516
䔛	451B
䔝	451D
䔧	4527
䔮	452E
䔳	4533
䔶	4536
䔻	453B
䔽	453D
䔿	453F
䕃	4543
䕑	4551
䕒	4552
䕕	4555
䕘	4558
䕜	455C
䕡	4561
䕢	4562
䕪	456A
䕭	456D
䕷	4577
䕸	4578
䖅	4585
䖦	45A6
䖳	45B3
䗚	45DA
䗩	45E9
䗪	45EA
䘃	4603
䘆	4606
䘏	460F
䘕	4615
䘗	4617
䙛	465B
䙺	467A
䚀	4680
䚡	46A1
䚮	46AE
䚻	46BB
䛏	46CF
䛐	46D0
䛵	46F5
䛷	46F7
䜓	4713
䜘	4718
䜶	4736
䝄	4744
䝎	474E
䝏	474F
䝼	477C
䞘	4798
䞦	47A6
䟕	47D5
䟭	47ED
䟴	47F4
䠀	4800
䠋	480B
䠷	4837
䡝	485D
䡱	4871
䢛	489B
䢭	48AD
䢮	48AE
䣐	48D0
䣝	48DD
䣭	48ED
䣳	48F3
䣺	48FA
䤆	4906
䤑	4911
䤞	491E
䤥	4925
䤪	492A
䤭	492D
䤯	492F
䤰	4930
䤵	4935
䤼	493C
䤾	493E
䥅	4945
䥑	4951
䥓	4953
䥥	4965
䥪	496A
䥲	4972
䦉	4989
䦡	49A1
䦧	49A7
䧟	49DF
䧥	49E5
䧧	49E7
䨏	4A0F
䨝	4A1D
䨤	4A24
䨵	4A35
䪖	4A96
䪤	4AA4
䪴	4AB4
䪸	4AB8
䫑	4AD1
䫤	4AE4
䫿	4AFF
䬐	4B10
䬙	4B19
䬠	4B20
䬬	4B2C
䬷	4B37
䭯	4B6F
䭰	4B70
䭲	4B72
䭻	4B7B
䭾	4B7E
䮎	4B8E
䮐	4B90
䮓	4B93
䮖	4B96
䮗	4B97
䮝	4B9D
䮽	4BBD
䮾	4BBE
䯀	4BC0
䰄	4C04
䰇	4C07
䰎	4C0E
䰲	4C32
䰻	4C3B
䰾	4C3E
䱀	4C40
䱇	4C47
䱗	4C57
䱛	4C5B
䱭	4C6D
䱷	4C77
䱻	4C7B
䱽	4C7D
䲁	4C81
䲅	4C85
䲮	4CAE
䲰	4CB0
䲷	4CB7
䳍	4CCD
䳡	4CE1
䳢	4CE2
䳭	4CED
䴇	4D07
䴉	4D09
䴐	4D10
䴴	4D34
䵶	4D76
䵷	4D77
䶉	4D89
䶑	4D91
䶜	4D9C
丄	4E04
业	4E1A
东	4E1C
両	4E21
两	4E24
丨	4E28
个	4E2A
丬	4E2C
丯	4E2F
丶	4E36
丷	4E37
丽	4E3D
丿	4E3F
义	4E49
乚	4E5A
乛	4E5B
乪	4E6A
乸	4E78
亀	4E80
亁	4E81
亅	4E85
亇	4E87
争	4E89
亘	4E98
亚	4E9A
亠	4EA0
亣	4EA3
亷	4EB7
亻	4EBB
亼	4EBC
亿	4EBF
从	4ECE
仪	4EEA
仫	4EEB
仮	4EEE
仸	4EF8
伃	4F03
众	4F17
会	4F1A
伨	4F28
伩	4F29
伲	4F32
伷	4F37
伹	4F39
佂	4F42
佅	4F45
佋	4F4B
佲	4F72
侊	4F8A
侢	4FA2
侨	4FA8
侫	4FAB
侰	4FB0
侴	4FB4
侽	4FBD
俈	4FC8
俌	4FCC
俤	4FE4
俥	4FE5
