#漢字   Unicode
㓤	34E4
㖭	35AD
㗎	35CE
㗾	35FE
㨘	3A18
㷫	3DEB
䁪	406A
䱽	4C7D
両	4E21
乸	4E78
亘	4E98
円	5186
冚	519A
冧	51A7
劏	528F
叁	53C1
叶	53F6
吓	5413
吔	5414
吖	5416
咗	5497
哋	54CB
响	54CD
唓	5513
唞	551E
啩	5569
啫	556B
啱	5571
啲	5572
喺	55BA
喼	55BC
嗰	55F0
嗱	55F1
嘅	5605
嘞	561E
嘢	5622
嘥	5625
嘭	562D
噃	5643
噏	564F
嚟	569F
嚿	56BF
坂	5742
埗	57D7
堃	5803
嫲	5AF2
孭	5B6D
怱	6031
拃	62C3
掹	63B9
揞	63DE
揸	63F8
揼	63FC
搲	6432
摱	6471
擝	64DD
攞	651E
攰	6530
曱	66F1
杧	6767
梘	6898
氹	6C39
燶	71F6
甴	7534
疱	75B1
癦	7666
着	7740
瞓	7793
矋	77CB
祢	7962
糉	7CC9
糍	7CCD
脷	8137
膶	81B6
菓	83D3
蔴	8534
螆	8786
裇	88C7
踎	8E0E
踭	8E2D
躀	8E80
軚	8EDA
邨	90A8
鈪	922A
餸	9938
鰂	9C02
鱲	9C72
𠝹	20779
𠱁	20C41
𠺝	20E9D
𠺢	20EA2
𡃁	210C1
𢭃	22B43
𢯊	22BCA
𢱕	22C55
𢵌	22D4C
𤓓	244D3
𤷪	24DEA
𥄫	2512B
𦟌	267CC
𦧺	269FA
𨅝	2815D
𨋢	282E2
𩶘	29D98
㩒	3A52
㬹	3B39
冲	51B2
凭	51ED
効	52B9
厠	53A0
厦	53A6
厨	53A8
啓	5553
宝	5B9D
峯	5CEF
廸	5EF8
廼	5EFC
强	5F3A
担	62C5
擧	64E7
枱	67B1
栢	6822
櫈	6AC8
沢	6CA2
滙	6ED9
烟	70DF
牀	7240
珏	73CF
琼	743C
画	753B
疴	75B4
窰	7AB0
糭	7CED
綉	7D89
綫	7DAB
羣	7FA3
肶	80B6
胆	80C6
舘	8218
葱	8471
衞	885E
譌	8B4C
踪	8E2A
迹	8FF9
鈎	920E
鉄	9244
鎅	9385
隣	96A3
鷄	9DC4
麪	9EAA
𠻹	20EF9
𡁻	2107B
〇	3007
㖡	35A1
㖿	35BF
㧬	39EC
㹴	3E74
乪	4E6A
凪	51EA
吡	5421
呍	544D
咓	5493
咲	54B2
唂	5502
啝	555D
嗗	55D7
嗞	55DE
噍	564D
嚡	56A1
埞	57DE
慤	6164
抦	62A6
揦	63E6
浜	6D5C
瀞	701E
煀	7140
煊	714A
猪	732A
猫	732B
獁	7341
獴	7374
畑	7551
睺	777A
笹	7B39
羗	7F97
肽	80BD
脲	8132
芦	82A6
芪	82AA
苷	82F7
蟎	87CE
蠄	8804
蹾	8E7E
辻	8FBB
込	8FBC
酶	9176
鈈	9208
鑛	945B
閪	95AA
鮋	9B8B
鯭	9BED
麯	9EAF
𠱸	20C78
𠲖	20C96
𠳏	20CCF
𠵝	20D5D
𠵱	20D71
𠶧	20DA7
𠹶	20E76
𠺘	20E98
𠼭	20F2D
𠽌	20F4C
𠿪	20FEA
𡁜	2105C
𡃶	210F6
𡅅	21145
𢃇	220C7
𢱢	22C62
𢳂	22CC2
𢵧	22D67
𣲷	23CB7
𤶸	24DB8
𤺧	24EA7
𥅈	25148
𥹉	25E49
𦉘	26258
𦧲	269F2
𨳊	28CCA
𨳍	28CCD
𨳒	28CD2
𨶙	28D99
𩓥	294E5
从	4ECE
偸	5078
僞	50DE
兪	516A
冴	51B4
况	51B5
凉	51C9
双	53CC
叙	53D9
叠	53E0
呪	546A
咏	548F
咤	54A4
喆	5586
喩	55A9
塡	5861
塩	5869
姸	59F8
婾	5A7E
嶋	5D8B
巓	5DD3
幺	5E7A
廻	5EFB
愠	6120
愼	613C
揾	63FE
携	643A
撑	6491
敍	654D
敎	654E
査	67FB
楡	6961
氲	6C32
温	6E29
煕	7155
爲	7232
甙	7519
瘂	7602
眞	771E
睘	7758
硏	784F
脇	8107
脗	8117
腭	816D
藴	85F4
贋	8D0B
醖	9196
鎭	93AD
鐧	9427
靑	9751
顚	985A
鮎	9B8E
鵞	9D5E
鼈	9F08
𡥼	2197C
𢱑	22C51
𨈇	28207
㓟	34DF
㘭	362D
㜺	373A
㧾	39FE
㩗	3A57
㩧	3A67
㷛	3DDB
㿭	3FED
㿺	3FFA
䃟	40DF
䏡	43E1
䏲	43F2
䓛	44DB
䓝	44DD
䓪	44EA
䓬	44EC
䢂	4882
䦉	4989
䰳	4C33
䱛	4C5B
䲁	4C81
䲗	4C97
䳍	4CCD
䴈	4D08
䴉	4D09
个	4E2A
仮	4EEE
働	50CD
儍	510D
内	5185
决	51B3
凟	51DF
凧	51E7
凩	51E9
凴	51F4
刦	5226
刧	5227
勅	52C5
卟	535F
却	5374
叾	53FE
吲	5432
呋	544B
咔	5494
哌	54CC
哚	54DA
唥	5525
啉	5549
啹	5579
喐	5590
喰	55B0
喹	55B9
嗪	55EA
嗬	55EC
嘣	5623
噒	5652
噔	5654
噝	565D
噺	567A
噻	567B
嚉	5689
嚒	5692
嚤	56A4
嚱	56B1
嚹	56B9
囖	56D6
国	56FD
坺	577A
堺	583A
塀	5840
塲	5872
壳	58F3
妬	59AC
姉	59C9
媪	5AAA
寃	5BC3
尅	5C05
届	5C4A
属	5C5E
峠	5CE0
廐	5ED0
廹	5EF9
弍	5F0D
徧	5FA7
忟	5FDF
悤	60A4
惗	60D7
惣	60E3
慽	617D
憇	6187
抝	629D
揑	63D1
搇	6407
撍	648D
撴	64B4
晋	664B
朶	6736
条	6761
栃	6803
栞	681E
梶	68B6
楳	6973
榅	6985
榊	698A
樋	6A0B
樫	6A2B
檫	6AAB
欟	6B1F
毡	6BE1
気	6C17
泪	6CEA
浲	6D72
涖	6D96
湼	6E7C
濶	6FF6
瀬	702C
炉	7089
点	70B9
烱	70F1
焫	712B
煅	7145
煴	7174
爕	7215
犟	729F
狍	72CD
猄	7304
猬	732C
献	732E
珉	73C9
瑠	7460
畓	7553
畠	7560
畧	7567
疎	758E
痃	75C3
瘻	763B
癎	764E
癔	7654
癧	7667
発	767A
瞖	7796
砈	7808
砹	7839
碍	788D
碱	78B1
碸	78B8
礆	7906
秄	79C4
竪	7AEA
笋	7B0B
粮	7CAE
絝	7D5D
綳	7DB3
緼	7DFC
繮	7E6E
罉	7F49
罎	7F4E
罸	7F78
肟	809F
肼	80BC
胩	80E9
脎	810E
脒	8112
脚	811A
腈	8148
腖	8156
腙	8159
腽	817D
膥	81A5
臁	81C1
舦	8226
苄	82C4
苝	82DD
茋	830B
茘	8318
茚	831A
萘	8418
萜	841C
蒄	8484
蒽	84BD
蘯	862F
蛯	86EF
蝰	8770
蝲	8772
蝽	877D
螋	878B
袜	889C
覇	8987
覥	89A5
謴	8B34
貛	8C9B
賍	8CCD
蹏	8E4F
躭	8EAD
軲	8EF2
輼	8F3C
辺	8FBA
遖	9056
酜	915C
酞	915E
酰	9170
醌	918C
鉕	9255
鉢	9262
鉨	9268
鉮	926E
鉳	9273
銾	92BE
錇	9307
鍀	9340
鍅	9345
鍩	9369
鎄	9384
鎇	9387
鎓	9393
鎿	93BF
鐦	9426
鑥	9465
雫	96EB
靭	976D
韮	97EE
韵	97F5
顬	986C
飈	98C8
饍	994D
饝	995D
饢	9962
駅	99C5
駡	99E1
骺	9ABA
骶	9AB6
髈	9AC8
髎	9ACE
鬭	9B2D
鮁	9B81
鮃	9B83
鮄	9B84
鮗	9B97
鮟	9B9F
鮣	9BA3
鮰	9BB0
鮻	9BBB
鯒	9BD2
鯮	9BEE
鯱	9BF1
鯿	9BFF
鰏	9C0F
鰕	9C15
鰛	9C1B
鰮	9C2E
鰯	9C2F
鰵	9C35
鰺	9C3A
鱇	9C47
鱚	9C5A
鱝	9C5D
鱰	9C70
鴴	9D34
鵐	9D50
鶓	9D93
鷉	9DC9
鵾	9D7E
鸊	9E0A
麫	9EAB
麿	9EBF
鼦	9F26
鼹	9F39
鿫	9FEB
鿬	9FEC
𠻗	20ED7
𠻘	20ED8
𠼮	20F2E
𡀔	21014
𡁶	21076
𡰪	21C2A
𡲢	21CA2
𢫏	22ACF
𣚺	236BA
𤘅	24605
𥅾	2517E
𦢊	2688A
𧿁	27FC1
𨃩	280E9
㗒	35D2
㗳	35F3
㞗	3797
㦸	39B8
㧸	39F8
㨃	3A03
㩜	3A5C
㷧	3DE7
䁓	4053
䁥	4065
䂻	40BB
䉵	4275
䒷	44B7
䗩	45E9
䘆	4606
䚎	468E
䜇	4707
䟴	47F4
䥑	4951
䭾	4B7E
䰄	4C04
䰻	4C3B
䰾	4C3E
䱋	4C4B
䱗	4C57
亀	4E80
仏	4ECF
伃	4F03
伲	4F32
伹	4F39
侫	4FAB
俣	4FE3
俤	4FE4
俥	4FE5
俲	4FF2
俽	4FFD
倮	502E
偖	5056
偬	506C
傦	50A6
僙	50D9
儁	5101
凑	51D1
凓	51D3
刟	521F
剗	5257
剠	5260
剨	5268
剳	5273
劚	529A
勑	52D1
勠	52E0
勡	52E1
匁	5301
匂	5302
匬	532C
匲	5332
匳	5333
医	533B
厪	53AA
厫	53AB
厮	53AE
厾	53BE
叚	53DA
呩	5469
咜	549C
咹	54B9
唨	5528
啳	5573
嗮	55EE
嗻	55FB
嘑	5611
嘚	561A
嘠	5620
嘷	5637
噼	567C
嚞	569E
园	56ED
囲	56F2
圕	5715
坆	5746
坟	575F
坧	5767
垰	57B0
埝	57DD
埦	57E6
堦	5826
塄	5844
塳	5873
墰	58B0
壜	58DC
壻	58FB
妷	59B7
姙	59D9
姫	59EB
姹	59F9
婣	5A63
宂	5B82
宍	5B8D
尠	5C20
