#Char	Unicode	Big5
一	4E00	A440
丁	4E01	A442
七	4E03	A443
丈	4E08	A456
三	4E09	A454
上	4E0A	A457
下	4E0B	A455
不	4E0D	A4A3
丐	4E10	A4A2
丑	4E11	A4A1
且	4E14	A542
丕	4E15	A541
世	4E16	A540
丘	4E18	A543
丙	4E19	A4FE
丞	4E1E	A5E0
丟	4E1F	A5E1
並	4E26	A8C3
丫	4E2B	A458
中	4E2D	A4A4
丰	4E30	A4A5
串	4E32	A6EA
丸	4E38	A459
丹	4E39	A4A6
主	4E3B	A544
乃	4E43	A444
久	4E45	A45B
么	4E48	A45C
之	4E4B	A4A7
乍	4E4D	A545
乎	4E4E	A547
乏	4E4F	A546
乒	4E52	A5E2
乓	4E53	A5E3
乖	4E56	A8C4
乘	4E58	ADBC
乙	4E59	A441
九	4E5D	A445
乞	4E5E	A45E
也	4E5F	A45D
乩	4E69	A5E4
乳	4E73	A8C5
乾	4E7E	B0AE
亂	4E82	B6C3
了	4E86	A446
予	4E88	A4A9
事	4E8B	A8C6
二	4E8C	A447
于	4E8E	A45F
云	4E91	A4AA
互	4E92	A4AC
五	4E94	A4AD
井	4E95	A4AB
亙	4E99	A5E5
些	4E9B	A8C7
亞	4E9E	A8C8
亟	4E9F	AB45
亡	4EA1	A460
亢	4EA2	A4AE
交	4EA4	A5E6
亥	4EA5	A5E8
亦	4EA6	A5E7
亨	4EA8	A6EB
享	4EAB	A8C9
京	4EAC	A8CA
亭	4EAD	AB46
亮	4EAE	AB47
亳	4EB3	ADBD
人	4EBA	A448
什	4EC0	A4B0
仁	4EC1	A4AF
仃	4EC3	A4B1
仄	4EC4	A4B7
仆	4EC6	A4B2
仇	4EC7	A4B3
今	4ECA	A4B5
介	4ECB	A4B6
仍	4ECD	A4B4
仔	4ED4	A54A
仕	4ED5	A54B
他	4ED6	A54C
仗	4ED7	A54D
付	4ED8	A549
仙	4ED9	A550
仞	4EDE	A551
仟	4EDF	A561
代	4EE3	A54E
令	4EE4	A54F
以	4EE5	A548
仰	4EF0	A5F5
仲	4EF2	A5F2
仳	4EF3	A5F6
件	4EF6	A5F3
任	4EFB	A5F4
份	4EFD	A5F7
仿	4EFF	A5E9
企	4F01	A5F8
伉	4F09	A5EA
伊	4F0A	A5EC
伋	4F0B	A5F9
伍	4F0D	A5EE
伏	4F0F	A5F1
伐	4F10	A5EF
休	4F11	A5F0
伕	4F15	A5ED
伙	4F19	A5EB
伯	4F2F	A742
估	4F30	A6F4
伴	4F34	A6F1
伶	4F36	A744
伸	4F38	A6F9
伺	4F3A	A6F8
似	4F3C	A6FC
伽	4F3D	A6F7
佃	4F43	A6FA
但	4F46	A6FD
佇	4F47	A6EE
佈	4F48	A747
位	4F4D	A6EC
低	4F4E	A743
住	4F4F	A6ED
佐	4F50	A6F5
佑	4F51	A6F6
佔	4F54	A6FB
何	4F55	A6F3
佗	4F57	A6EF
余	4F59	A745
佚	4F5A	A748
佛	4F5B	A6F2
作	4F5C	A740
佝	4F5D	A746
佞	4F5E	A6F0
你	4F60	A741
佣	4F63	A6FE
佩	4F69	A8D8
佬	4F6C	A8D0
